Rozmiar grafu,czas zliczania etykiet 0.2,czas zliczania etykiet 0.4,czas_zliczania_łuków lista_ł 0.2,czas_zliczania_łuków lista_ł 0.4,czas_zliczania_łuków macierz 0.2,czas_zliczania_łuków macierz 0.4,czas_zliczania_łuków lista_n 0.2,czas_zliczania_łuków lista_n 0.4
100,0.0,0.0,0.0,0.0009965896606445312,0.0009982585906982422,0.0009968280792236328,0.0009970664978027344,0.0
200,0.0,0.0009982585906982422,0.001993894577026367,0.0019948482513427734,0.00399017333984375,0.004986763000488281,0.0019941329956054688,0.0030198097229003906
300,0.0009992122650146484,0.0019927024841308594,0.0029985904693603516,0.004952430725097656,0.009003877639770508,0.010970354080200195,0.0029916763305664062,0.005957603454589844
400,0.001994609832763672,0.002992391586303711,0.004986286163330078,0.009972810745239258,0.016954421997070312,0.019946575164794922,0.004986763000488281,0.011032819747924805
500,0.003989696502685547,0.006981372833251953,0.008975982666015625,0.01795196533203125,0.026928186416625977,0.03191685676574707,0.007979393005371094,0.01695394515991211
600,0.004987478256225586,0.007977724075317383,0.010942459106445312,0.02296757698059082,0.036873817443847656,0.04487967491149902,0.011966705322265625,0.02493453025817871
700,0.005984067916870117,0.010971784591674805,0.015984535217285156,0.03490757942199707,0.05042886734008789,0.0608823299407959,0.016946077346801758,0.0358729362487793
800,0.007008552551269531,0.013935565948486328,0.019945383071899414,0.03989458084106445,0.06682133674621582,0.0884847640991211,0.02094244956970215,0.06283354759216309
900,0.009972333908081055,0.02001953125,0.026897430419921875,0.05089426040649414,0.08477258682250977,0.10671544075012207,0.02695775032043457,0.05485796928405762
1000,0.011925697326660156,0.023935794830322266,0.03191423416137695,0.061865806579589844,0.10369086265563965,0.126662015914917,0.032912254333496094,0.06781935691833496
